LABCENTER PROTEUS PICK AND PLACE FILE
=====================================

Component positions for C:\Projects\KIWISAT\SUBSYSTEMS\Sun_Sensor\SunSensor_V1.LYT

Fields: Part ID, Value, Package, Layer, Rotation, X, Y
Units:  Rotation - degrees, X, Y  - thou
Notes:  The X, Y value is the centre of package as drawn in ARES.
        The origin for these values is the Output Origin.
        The values are a guide only and must be checked manually when
        setting up automatic insertion equipment.

"J1","SIL-7","CONN-SIL7-DILPAD",TOP,270,145,755
"J12","SIL-8","CONN-SIL8-DILPAD",TOP,0,4095,1745
"J14","SIL-6","CONN-SIL6-DILPAD",TOP,0,1925,1769
"C2","10nF","SMD0805",TOP,0,888,1700
"R2","4k02","SMD0805",TOP,180,888,1600
"U2","LM324","SO14",TOP,270,950,1350
"R4","10k","SMD0805",TOP,0,1062,1700
"R5","10k","SMD0805",TOP,0,1088,1600
"R3","10k","SMD0805",TOP,90,1250,1662
"R6","10k","SMD0805",TOP,0,962,900
"C4","10nF","SMD0805",TOP,0,838,1100
"R1","4k02","SMD0805",TOP,180,838,1000
"R7","10k","SMD0805",TOP,0,1062,1000
"R8","10k","SMD0805",TOP,0,1088,1100
"R9","10k","SMD0805",TOP,0,1638,1225
"U3","LM324","SO14",TOP,270,950,450
"C6","10nF","SMD0805",TOP,0,838,700
"C8","10nF","SMD0805",TOP,0,838,200
"R10","4k02","SMD0805",TOP,180,838,800
"R11","10k","SMD0805",TOP,90,1250,588
"R12","10k","SMD0805",TOP,0,1062,800
"R13","10k","SMD0805",TOP,0,1088,700
"R14","4k02","SMD0805",TOP,180,838,100
"R15","10k","SMD0805",TOP,270,1250,312
"R16","10k","SMD0805",TOP,0,1062,100
"R17","10k","SMD0805",TOP,0,1088,200
"R18","4k99","SMD0805",TOP,180,1387,775
"U1","AD538","DIL18",TOP,0,2350,1150
"U6","AD538","DIL18",TOP,0,2350,400
"D1","BAS16","SOT23_3",TOP,90,2445,1450
"D2","BAS16","SOT23_3",TOP,90,2610,687
"C11","100nF","SMD0805",TOP,90,2300,1462
"C15","100nF","SMD0805",TOP,90,2350,688
"C12","100nF","SMD0805",TOP,0,2488,900
"C16","100nF","SMD0805",TOP,0,2488,150
"C13","470pF","SMD0805",TOP,0,2688,900
"C17","470pF","SMD0805",TOP,0,2688,150
"J4","TEST","TESTPT_SMD80X80",TOP,0,750,1750
"J5","TEST","TESTPT_SMD80X80",TOP,0,675,1000
"J6","TEST","TESTPT_SMD80X80",TOP,0,675,800
"J7","TEST","TESTPT_SMD80X80",TOP,0,675,100
"J8","TEST","TESTPT_SMD80X80",TOP,0,1250,150
"U5","LM324","SO14",TOP,0,4400,850
"RV2","10k","PRE-64W",TOP,270,3225,775
"R28","42k2","SMD0805",TOP,180,2912,800
"R26","TBD","SMD0805",TOP,270,2900,1112
"R25","TBD","SMD0805",TOP,270,2900,938
"R27","TBD","SMD0805",TOP,270,3000,938
"R29","TBD","SMD0805",TOP,270,3000,1112
"R30","46.4k","SMD0805",TOP,270,1825,1038
"R31","40k2 0.1%","SMD0805",TOP,0,3662,950
"R32","100k 0.1%","SMD0805",TOP,0,3888,1050
"R33","100k 0.1%","SMD0805",TOP,0,4087,1065
"R34","49k9 0.1%","SMD0805",TOP,0,3888,950
"R35","100k 0.1%","SMD0805",TOP,180,4112,950
"R36","499R 0.1%","SMD0805",TOP,270,4200,1413
"R37","499R 0.1%","SMD0805",TOP,270,4250,1237
"RV3","10k","PRE-64W",TOP,90,3225,325
"R38","TBD","SMD0805",TOP,270,2900,312
